Student_ID,Name,Age,Gender,Math,Science,English,Attendance,Average_Score,Performance
6,Fatima,21,Female,95.0,89.0,94.0,99.0,92.66666666666667,Excellent
2,Sara,21,Female,92.0,88.0,95.0,98.0,91.66666666666667,Excellent
9,Zain,22,Male,90.0,93.0,91.0,97.0,91.33333333333333,Excellent
4,Ayesha,22,Female,88.0,91.0,87.0,96.0,88.66666666666667,Good
1,Ali,20,Male,85.0,78.0,90.0,95.0,84.33333333333333,Good
8,Hina,20,Female,81.0,84.0,85.0,93.0,83.33333333333333,Good
3,Ahmed,19,Male,76.0,81.0,79.0,90.0,78.66666666666667,Average
5,Usman,20,Male,79.0,75.0,80.0,88.0,78.0,Average
10,Noor,19,Female,73.0,77.0,82.0,89.0,77.33333333333333,Average
7,Bilal,23,Male,67.0,72.0,70.0,85.0,69.66666666666667,Needs Improvement
