Student_ID,Name,Math_Score,Science_Score,English_Score,Attendance,Total_Score,Average_Score
S001,Alice,85,92,78,95.0,255,85.0
S002,Bob,55,65,70,88.5,190,63.33
S003,Charlie,92,88,95,98.2,275,91.67
S004,David,45,50,48,75.0,143,47.67
S005,Eva,78,81,85,91.0,244,81.33
S006,Frank,62,58,60,89.23,180,60.0
S007,Grace,98,95,97,99.0,290,96.67
S008,Hannah,70,72,68,89.0,210,70.0
S009,Ian,40,42,45,82.0,127,42.33
S010,Jack,88,85,90,94.5,263,87.67
S011,Kate,35,40,50,70.5,125,41.67
S012,Liam,80,82,88,89.23,250,83.33
S013,Mia,95,90,92,97.5,277,92.33
S014,Noah,50,55,52,80.0,157,52.33
S015,Olivia,90,94,89,96.0,273,91.0
S016,Peter,75,70,72,85.0,217,72.33
S017,Quinn,85,88,84,93.0,257,85.67
S018,Ryan,60,65,58,87.0,183,61.0
S019,Sofia,92,91,95,96.5,278,92.67
S020,Taylor,48,52,47,78.5,147,49.0
