Student_ID,Name,Math_Score,Science_Score,English_Score,Attendance
S001,Alice,85,92,78,95.0
S002,Bob,55,65,70,88.5
S003,Charlie,92,88,95,98.2
S004,David,45,50,48,75.0
S005,Eva,78,81,85,91.0
S006,Frank,62,58,60,
S007,Grace,98,95,97,99.0
S008,Hannah,70,72,68,89.0
S009,Ian,40,42,45,82.0
S010,Jack,88,85,90,94.5
S011,Kate,35,40,50,70.5
S012,Liam,80,82,88,
S013,Mia,95,90,92,97.5
S014,Noah,50,55,52,80.0
S015,Olivia,90,94,89,96.0
S016,Peter,75,70,72,85.0
S017,Quinn,85,88,84,93.0
S018,Ryan,60,65,58,87.0
S019,Sofia,92,91,95,96.5
S020,Taylor,48,52,47,78.5
